FileName	Onsets	Offsets
15421_44k_b7of11.wav	[775, 945, 1089, 1279, 1470, 1666, 1841, 2026, 2219, 2400, 2580, 2768, 2953, 3141, 3324, 3510, 3695, 3881, 4072, 4254, 4446, 4644, 4830, 5020, 5209, 5404, 5590, 5778, 5971, 6166, 6350, 6552, 6751, 6947, 7146, 7345, 7541, 7736, 7938]	[821, 1005, 1186, 1370, 1556, 1747, 1936, 2119, 2296, 2486, 2670, 2854, 3042, 3236, 3418, 3605, 3795, 3978, 4164, 4357, 4547, 4740, 4927, 5115, 5302, 5492, 5685, 5876, 6066, 6262, 6454, 6649, 6850, 7042, 7236, 7433, 7630, 7830, 8031]
176207_44k_b1of4.wav	[558, 737, 925, 1108, 1295, 1488, 1681, 1869, 2059, 2247, 2434, 2622, 2811, 2997, 3185, 3374, 3565, 3755, 3943, 4130, 4320, 4503, 4692, 4878, 5071, 5260, 5449, 5641, 5833, 6021, 6209, 6402, 6594, 6786, 6976, 7172, 7361, 7553, 7747, 7945, 8137, 8337, 8539]	[658, 853, 1040, 1230, 1417, 1608, 1797, 1988, 2175, 2365, 2550, 2737, 2927, 3119, 3311, 3497, 3688, 3878, 4067, 4255, 4440, 4627, 4815, 5002, 5190, 5377, 5562, 5761, 5955, 6134, 6325, 6519, 6709, 6909, 7095, 7284, 7476, 7677, 7868, 8065, 8256, 8457, 8701]
190909_44k_b11of11.wav	[778, 940, 1139, 1379, 1583, 1783, 1984, 2180, 2384, 2576, 2779, 2997, 3198, 3372, 3573, 3766, 3990, 4191, 4406, 4596, 4793, 4990, 5185, 5376, 5567, 5764, 5961, 6166, 6348, 6532, 6721, 6924, 7115, 7294, 7484, 7669, 7845]	[873, 1063, 1250, 1486, 1693, 1900, 2096, 2302, 2487, 2669, 2887, 3084, 3287, 3480, 3677, 3889, 4100, 4300, 4509, 4704, 4905, 5101, 5291, 5480, 5676, 5876, 6068, 6281, 6463, 6641, 6813, 7026, 7220, 7402, 7596, 7768, 7954]
224604_44k_b4of7.wav	[519, 829, 1149, 1467, 1787, 2115, 2437, 2763, 3088, 3414, 3751]	[762, 1075, 1393, 1715, 2030, 2363, 2685, 3012, 3332, 3661, 4004]
87491_44k_b1of4.wav	[810, 1210, 1621, 2026, 2424, 2826, 3227, 3626, 4025, 4419, 4819, 5213, 5608, 6006, 6414, 6808, 7208, 7615, 8024, 8461]	[1125, 1529, 1931, 2341, 2729, 3138, 3541, 3936, 4333, 4732, 5123, 5518, 5920, 6318, 6724, 7115, 7519, 7927, 8334, 8763]
XC125186_b2of8.wav	[663, 792, 940, 1104, 1271, 1434, 1601, 1767, 1930, 2093, 2261, 2426, 2597, 2764, 2927, 3091, 3254, 3421, 3588, 3755, 3919, 4089, 4258, 4415, 4581, 4744, 4915, 5083, 5254, 5419, 5589, 5758, 5928, 6101, 6265, 6433, 6605, 6774, 6941, 7116]	[689, 851, 1015, 1178, 1347, 1514, 1680, 1844, 2008, 2174, 2340, 2506, 2672, 2838, 3003, 3166, 3333, 3498, 3666, 3836, 3997, 4167, 4333, 4496, 4665, 4832, 4999, 5166, 5338, 5505, 5677, 5844, 6014, 6179, 6352, 6518, 6690, 6859, 7033, 7219]
XC1256_b1of1.wav	[364, 477, 602, 721, 847, 975, 1095, 1220, 1341, 1464, 1588, 1714, 1835, 1957, 2076, 2205, 2324, 2449, 2573, 2699, 2821, 2950, 3070, 3197, 3323, 3448, 3572, 3697, 3821, 3950, 4078, 4202, 4323, 4452, 4579, 4709]	[432, 552, 674, 792, 926, 1053, 1180, 1302, 1427, 1551, 1675, 1797, 1919, 2042, 2166, 2290, 2413, 2537, 2661, 2787, 2912, 3036, 3159, 3284, 3410, 3536, 3661, 3786, 3909, 4034, 4161, 4289, 4418, 4547, 4678, 4810]
XC141461_b18of27.wav	[466, 841, 1302, 1778, 2235]	[748, 1201, 1655, 2117, 2572]
XC81357_b4of4.wav	[1723, 2111, 2480, 2840, 3208, 3576, 3943, 4300, 4672, 5032, 5402, 5771, 6131, 6486, 6850, 7217, 7587, 7959, 8319, 8686, 9053, 9416, 9777, 10146, 10511, 10881, 11249, 11620, 12006, 12304, 12740, 13115, 13489, 13877, 14248, 14653]	[1988, 2306, 2628, 2995, 3364, 3735, 4098, 4457, 4848, 5198, 5560, 5922, 6283, 6645, 7004, 7378, 7750, 8116, 8479, 8851, 9208, 9584, 9942, 10306, 10701, 11072, 11419, 11784, 12186, 12552, 12930, 13311, 13658, 14063, 14436, 14891]
